;price;nroom;sqmeter;lat;long;condom;floor;tpprop;status;heating;ac;photosnum;enclass;contr;furnished;kitchen
948;1500;2;45;454.627;917.957;100;NA;Intera proprieta, classe immobile signorile;Nuovo / In costruzione;Autonomo;Autonomo, solo freddo;17;F;Affitto, transitorio;Arredato;cucina angolo cottura
949;3750;3;182;454.671;92.018;0;3;Intera proprieta;NA;Unknown;Assente;20;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
950;1250;3;70;454.867;923.009;250;3;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Assente;20;G;Affitto, 4+4;Arredato;Cucina abitabile
951;2670;4;120;454.814;92.082;200;7;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;10;E;Affitto, 4+4;Not given;Cucina abitabile
952;2075;2;90;454.834;91.704;125;4;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;20;E;Affitto, 4+4;Arredato;Cucina abitabile
953;975;2;65;454.442;91.731;125;5;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;F;Affitto, 4+4;Arredato;cucinotto
954;1850;2;75;454.703;918.238;150;5;Intera proprieta, immobile di lusso;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;20;G;Affitto, transitorio;Arredato;Cucina a vista
955;1918;2;45;454.673;92.001;192;2;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Autonomo;12;G;Affitto, 4+4;Not given;cucina angolo cottura
956;900;2;40;454.576;915.684;150;7;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Assente, solo freddo;16;G;Affitto;Not given;none
957;2250;3;100;454.522;91.963;152;1;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Assente;12;G;Affitto, 4+4;Not given;Cucina abitabile
958;1200;2;90;45.472;915.008;300;2;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;13;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
959;1400;2;78;454.445;92.155;270;8;Classe immobile signorile;Buono / Abitabile;Centralizzato;NA;11;F;Affitto;Arredato;Cucina abitabile
960;1500;2;45;454.527;920.994;83;0;Classe immobile media;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;5;G;Affitto, 4+4;Not given;cucina angolo cottura
961;2500;2;85;454.725;91.886;150;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;11;F;Affitto, transitorio;Arredato;Cucina a vista
962;2250;2;90;454.783;91.851;195;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;16;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
963;2000;2;55;454.774;92.159;200;6;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;10;E;Affitto, libero;Arredato;cucina angolo cottura
964;3200;4;145;454.908;91.988;300;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;17;A+;Affitto, 4+4;Arredato;Cucina a vista
965;2948;3;92;454.464;9.177;418;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Assente;11;D;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
966;1100;1;35;454.877;919.497;150;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;15;D;Affitto;Arredato;cucina angolo cottura
967;2000;3;100;45.464;9.201;250;1;Intera proprieta, classe immobile media;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;20;G;Affitto, 4+4;Parzialmente arredato;cucinotto
968;3500;4;150;454.655;92.051;583;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;17;D;Affitto, 4+4;Not given;cucina semi abitabile
969;2000;4;120;454.952;92.071;300;8;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;14;G;Affitto, 4+4;Not given;Cucina abitabile
970;2200;3;75;454.806;918.307;150;4;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Assente;19;G;Affitto, 4+4;Arredato;cucina angolo cottura
971;1700;2;50;454.916;921.198;0;5;Intera proprieta, classe immobile media;Nuovo / In costruzione;Centralizzato;Autonomo, solo freddo;20;NA;Affitto, transitorio;Arredato;Cucina abitabile
972;1800;2;100;454.748;9.146;600;2;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Autonomo, freddo/caldo;18;G;Affitto, 4+4;Arredato;Cucina abitabile
973;1350;2;60;454.597;9.207;150;2;Intera proprieta, immobile di lusso;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;7;E;Affitto, transitorio;Arredato;Cucina a vista
974;2850;2;60;454.751;91.924;0;1;Intera proprieta, immobile di lusso;Ottimo/Ristrutturato;Centralizzato;Centralizzato;19;A;Affitto, 4+4;Arredato;Cucina a vista
975;19800;2;85;45.459;918.173;180;NA;Intera proprieta;Buono / Abitabile;Centralizzato;Assente;15;G;Affitto, 4+4;Parzialmente arredato;Cucina a vista
976;1200;2;30;454.805;92.214;100;1;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, freddo/caldo;10;F;Affitto, libero;Arredato;cucina angolo cottura
977;2500;3;80;454.769;92.169;200;6;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;14;F;Affitto, 4+4;Arredato;Cucina a vista
978;1800;2;80;454.659;91.988;414;3;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;G;Affitto, 4+4;Arredato;Cucina abitabile
979;5000;5;211;454.627;91.796;540;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Centralizzato, freddo/caldo;15;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
980;1000;1;50;454.615;921.221;150;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;12;F;Affitto, 4+4;Arredato;Cucina abitabile
981;1500;2;59;454.639;92.113;90;0;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo;14;G;Affitto;Arredato;Cucina a vista
982;2070;4;120;454.522;919.099;210;4;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente, solo freddo;12;G;Affitto, 4+4;Arredato;Cucina abitabile
983;1800;4;100;454.625;923.199;400;1;Intera proprieta, classe immobile media;Ottimo/Ristrutturato;Centralizzato;Assente, solo freddo;20;G;Affitto, 4+4;Arredato;Cucina abitabile
984;1400;1;45;454.786;918.842;108;4;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;10;G;Affitto;Arredato;Cucina abitabile
985;2400;3;160;454.658;916.479;380;2;Classe immobile signorile;Da ristrutturare;Centralizzato;Autonomo, solo freddo;20;NA;Affitto;Parzialmente arredato;Cucina abitabile
986;2300;3;125;454.772;917.269;175;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;16;D;Affitto, 4+4;Parzialmente arredato;Cucina a vista
987;1100;2;50;454.672;91.529;100;3;Intera proprieta, classe immobile signorile;Buono / Abitabile;Autonomo;Assente;20;F;Affitto;Arredato;cucina angolo cottura
988;2666;4;154;454.635;92.078;166;5;Intera proprieta, classe immobile media;Buono / Abitabile;Autonomo;Autonomo, solo freddo;20;G;Affitto, 4+4;Not given;Cucina abitabile
989;1500;1;30;45.456;91.845;0;2;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;12;G;Affitto, transitorio;Arredato;cucinotto
